chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82600	0.92	0.81	1.00	0.95	0.77	0.85
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82605	0.92	0.69	0.83	0.95	0.84	0.97
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82611	0.98	0.86	0.92	1.00	0.90	0.94
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	464522	0.15	0.37	1.00	0.80	0.87	0.60
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	464527	0.29	0.26	1.00	0.84	0.87	0.78
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	939772	0.80	0.38	0.17	0.93	0.70	0.85
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626823	0.65	0.97	0.79	0.94	0.90	0.75
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626855	0.95	0.97	0.75	0.96	0.91	0.96
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626857	0.93	0.90	0.68	1.00	0.70	0.94
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626862	0.90	0.93	0.81	0.94	0.93	0.92
KN811402.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811402.1:1:1651507:1 REF	214776	0.98	0.58	1.00	0.88	0.85	0.96
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562727	0.80	0.94	1.00	0.77	0.93	0.80
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562731	0.86	0.97	1.00	0.82	0.96	0.86
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	562740	0.81	0.91	0.68	0.77	0.77	0.82
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	1425741	0.81	0.42	1.00	0.88	0.39	0.89
KN811404.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811404.1:1:1645244:1 REF	723342	0.67	1.00	0.92	0.96	0.43	0.95
KN811404.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811404.1:1:1645244:1 REF	894188	0.80	0.78	1.00	0.97	0.64	0.98
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	485177	0.88	1.00	0.96	1.00	0.98	0.59
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	1169403	0.52	1.00	1.00	0.89	0.91	0.97
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	2129005	0.98	0.73	0.86	0.73	0.92	1.00
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	2129015	0.97	1.00	0.86	0.98	0.94	1.00
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	2129031	0.96	0.73	0.31	0.93	0.26	1.00
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	2582991	0.70	0.18	0.14	0.57	0.36	0.82
KN811405.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811405.1:1:5058772:1 REF	4598094	0.47	0.21	0.50	0.64	0.82	0.58
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	390490	0.96	1.00	1.00	1.00	0.99	0.62
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464039	0.79	0.17	0.99	0.86	0.77	0.88
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464060	0.60	0.33	0.53	0.81	0.75	0.88
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464071	0.61	0.33	0.52	0.68	0.56	0.80
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	511650	0.93	0.12	1.00	0.95	0.51	0.92
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1814525	0.93	0.76	0.60	0.89	0.95	0.82
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1843095	0.32	0.18	0.14	0.54	0.32	0.56
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	2743385	0.66	0.93	0.87	0.76	0.83	0.90
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	3830311	0.69	0.45	0.92	0.90	0.84	0.80
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	3830324	0.74	0.45	0.96	1.00	0.88	0.88
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1392164	0.91	0.90	0.79	0.67	0.56	0.50
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1392246	0.37	0.45	0.82	0.30	0.86	0.49
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	244226	0.48	0.54	0.72	0.59	0.58	0.45
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	810680	0.56	0.20	0.47	0.62	0.50	0.23
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591922	0.47	0.78	0.59	0.81	0.75	0.58
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591928	0.62	0.72	0.49	0.94	0.68	0.58
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591933	0.57	0.60	0.44	0.77	0.67	0.58
KN811410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811410.1:1:1651770:1 REF	792630	0.77	0.43	0.16	0.87	0.91	0.91
KN811410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811410.1:1:1651770:1 REF	792648	0.82	0.90	0.88	0.86	0.94	0.95
KN811410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811410.1:1:1651770:1 REF	830874	0.93	0.13	0.14	0.56	0.35	0.28
KN811411.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811411.1:1:1597461:1 REF	1162743	0.65	0.50	0.80	0.69	0.93	0.81
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	92724	0.48	0.88	0.33	0.52	0.66	0.16
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	208348	0.88	0.64	0.44	0.53	0.64	0.84
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	774915	0.48	0.88	0.33	0.52	0.66	0.16
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	898393	0.92	1.00	1.00	0.48	1.00	0.66
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	898413	0.92	1.00	1.00	0.48	0.98	0.67
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	898423	0.88	1.00	1.00	0.49	0.91	0.65
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1149536	0.56	0.11	0.79	0.35	0.60	0.79
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1435013	1.00	0.15	1.00	0.27	0.59	0.77
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1435016	1.00	0.15	0.50	0.56	0.96	1.00
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1435024	1.00	1.00	1.00	0.67	0.96	0.69
KN811413.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811413.1:1:1609524:1 REF	1511913	0.52	1.00	1.00	0.89	0.91	0.97
KN811413.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811413.1:1:1609524:1 REF	1534146	0.20	0.45	0.58	0.94	0.67	0.91
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136322	0.91	0.89	0.92	0.92	0.89	0.69
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136325	0.85	0.89	0.76	0.97	0.96	0.68
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136338	0.85	0.83	0.81	0.88	0.95	0.66
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	465842	0.64	0.24	1.00	0.82	0.56	0.80
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	465859	0.53	0.25	0.94	0.60	0.93	0.93
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	767264	0.70	0.50	0.45	0.85	0.75	0.41
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503486	0.89	0.95	1.00	0.93	0.95	0.95
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503489	0.87	0.95	1.00	0.99	0.87	0.98
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503502	0.93	0.95	1.00	0.97	0.97	0.95
KN811416.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811416.1:1:1691546:1 REF	985137	0.19	0.12	0.44	0.40	0.37	0.46
KN811416.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811416.1:1:1691546:1 REF	1080715	1.00	1.00	0.97	0.92	1.00	0.94
KN811416.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811416.1:1:1691546:1 REF	1080735	0.97	1.00	0.99	1.00	0.98	0.92
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	575438	0.49	0.80	1.00	0.18	0.59	0.86
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	1409070	0.88	0.18	0.10	0.50	0.43	0.28
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	1754144	0.26	0.60	1.00	0.31	0.81	0.50
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352787	0.69	0.93	0.96	0.84	0.70	0.67
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352795	0.75	0.96	0.96	0.93	0.71	0.87
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202609	0.70	1.00	0.44	0.34	0.90	1.00
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202852	0.58	1.00	0.98	0.95	0.68	0.77
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202897	0.34	0.83	0.47	0.49	0.50	0.35
KN811421.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811421.1:1:1612386:1 REF	1094272	0.90	1.00	1.00	0.88	0.61	0.89
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1241050	0.14	0.40	0.20	0.12	0.19	0.17
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436691	0.52	0.50	0.25	0.79	0.32	0.45
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436693	0.13	0.16	0.25	0.33	0.19	0.47
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	893731	0.84	1.00	1.00	0.85	0.95	0.95
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	969119	0.77	0.82	1.00	0.97	1.00	0.97
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	969127	1.00	0.86	0.86	0.97	0.94	0.89
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	969135	0.80	0.91	0.79	0.94	1.00	1.00
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	969177	0.93	0.83	1.00	0.86	0.97	0.94
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	969184	0.79	0.87	0.94	0.78	0.97	0.91
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	1141036	0.78	0.70	0.79	0.86	0.73	0.88
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	1141045	0.77	0.70	0.82	0.76	0.69	0.92
KN811426.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811426.1:1:1563649:1 REF	938697	0.92	0.56	0.50	0.37	0.67	0.85
KN811426.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811426.1:1:1563649:1 REF	1160561	0.92	0.38	1.00	0.77	0.89	0.60
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	295985	0.91	0.12	1.00	0.96	0.61	0.88
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1156470	0.94	0.94	0.95	0.67	0.97	0.92
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1156491	0.88	0.75	0.86	0.96	0.66	0.78
KN811428.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811428.1:1:1522085:1 REF	443015	1.00	0.58	0.45	0.56	0.76	1.00
KN811429.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811429.1:1:1711438:1 REF	282576	1.00	1.00	1.00	0.68	1.00	1.00
KN811429.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811429.1:1:1711438:1 REF	655764	0.81	0.96	0.54	0.55	0.28	0.49
KN811429.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811429.1:1:1711438:1 REF	655787	1.00	0.96	1.00	0.91	1.00	0.62
KN811430.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811430.1:1:1503563:1 REF	1282421	0.81	0.83	0.52	0.95	0.77	0.90
KN811432.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811432.1:1:1530964:1 REF	298859	0.94	0.79	0.86	0.67	0.78	0.87
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	138855	0.98	0.12	1.00	0.95	0.52	0.92
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	167835	0.92	0.23	0.70	0.93	0.93	0.86
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464464	0.88	0.88	1.00	0.87	0.88	0.97
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464472	0.87	0.80	1.00	0.90	0.92	0.60
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464480	0.90	0.93	0.89	0.86	0.89	0.95
KN811434.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811434.1:1:1436072:1 REF	918345	0.94	0.45	1.00	0.95	0.38	0.88
KN811435.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811435.1:1:1510013:1 REF	936822	0.90	1.00	1.00	0.93	0.90	0.89
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	10115	0.32	0.91	0.14	0.92	0.89	0.79
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	184731	0.40	0.84	1.00	0.28	0.40	0.95
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	184760	0.37	0.91	1.00	0.91	0.97	1.00
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930382	0.16	0.12	0.14	0.54	0.14	0.36
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930404	0.30	0.38	0.22	0.69	0.78	0.57
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930415	1.00	0.77	0.22	0.67	0.87	0.36
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	944022	0.93	1.00	0.20	0.39	0.75	0.46
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	142004	0.71	0.83	0.15	0.86	0.53	0.62
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	241596	0.58	0.80	0.60	0.67	0.64	0.65
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	241603	0.58	0.80	0.40	0.81	0.79	0.71
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	286667	0.33	0.82	1.00	0.88	0.96	0.52
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	438763	1.00	1.00	1.00	1.00	1.00	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	438784	1.00	1.00	1.00	0.98	1.00	0.79
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	967167	0.99	1.00	1.00	0.81	0.42	0.95
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	967197	0.43	0.37	0.58	0.82	0.69	0.48
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	992267	1.00	0.70	0.94	1.00	0.95	0.84
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052883	0.95	0.41	0.82	1.00	0.95	0.91
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052888	0.95	0.34	0.88	0.67	0.93	0.87
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052890	0.92	0.92	0.82	0.95	0.45	0.83
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052922	0.54	0.24	0.88	0.55	0.88	0.67
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1255914	1.00	1.00	1.00	0.20	0.58	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1255925	0.90	1.00	0.97	1.00	1.00	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1323777	0.80	0.91	1.00	0.72	0.72	0.94
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1323786	0.90	1.00	1.00	0.53	0.71	0.97
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	824988	0.67	0.77	0.96	0.57	0.72	0.87
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825038	0.85	0.64	0.91	0.62	0.82	0.91
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825070	0.83	0.73	1.00	0.70	0.91	0.89
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825072	0.85	1.00	1.00	0.76	0.97	0.97
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825077	0.96	0.73	0.77	0.90	0.94	0.97
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825083	0.94	1.00	1.00	0.95	1.00	0.98
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344319	0.87	0.31	0.69	0.78	0.71	0.78
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344350	0.76	0.81	0.67	0.92	0.81	0.79
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344436	1.00	0.76	0.90	0.82	0.91	0.82
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344468	0.94	0.82	0.90	1.00	0.98	0.96
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344470	1.00	0.88	0.90	1.00	0.96	0.93
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344475	0.88	0.88	0.75	0.91	0.98	0.93
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344481	1.00	0.82	0.90	1.00	0.98	1.00
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	522199	0.88	0.43	1.00	0.77	0.90	0.67
KN811442.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811442.1:1:1454533:1 REF	700732	0.77	0.43	0.16	0.87	0.91	0.91
KN811442.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811442.1:1:1454533:1 REF	700750	0.82	0.90	0.88	0.86	0.94	0.95
KN811443.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811443.1:1:1366826:1 REF	280888	0.97	0.94	0.66	1.00	1.00	1.00
KN811445.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811445.1:1:1387484:1 REF	161899	0.48	0.88	0.33	0.54	0.78	0.16
KN811445.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811445.1:1:1387484:1 REF	162262	0.48	0.85	0.33	0.53	0.78	0.16
KN811445.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811445.1:1:1387484:1 REF	1144581	0.49	0.52	0.73	0.59	0.64	0.51
KN811446.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811446.1:1:1487223:1 REF	1165366	0.53	0.30	0.51	0.32	0.44	0.84
KN811446.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811446.1:1:1487223:1 REF	1165376	0.91	0.20	0.72	0.36	0.58	0.84
KN811446.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811446.1:1:1487223:1 REF	1207776	0.65	0.50	0.80	0.67	0.93	0.81
KN811447.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811447.1:1:4424291:1 REF	609817	0.86	0.70	0.20	0.46	0.43	0.60
KN811447.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811447.1:1:4424291:1 REF	825355	0.55	0.17	0.55	0.14	0.75	0.98
KN811447.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811447.1:1:4424291:1 REF	825359	0.92	1.00	0.82	0.31	0.89	0.96
KN811447.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811447.1:1:4424291:1 REF	825383	0.95	0.23	1.00	0.90	0.99	0.96
KN811447.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811447.1:1:4424291:1 REF	1743240	0.82	0.91	0.92	0.93	1.00	0.99
